Wilayah Jawa Barat,Jumlah Tenaga Kesehatan Menurut Kabupaten/Kota (Orang),,,,,,,,,,,,,,
,Dokter,,,Perawat,,,Bidan,,,Farmasi,,,Ahli Gizi,,
,2017,2018,2019,2017,2018,2019,2017,2018,2019,2017,2018,2019,2017,2018,2019
Provinsi Jawa Barat,5510,1902,8971,-,8955,33199,-,13936,19427,3444,949,4692,-,-,1350
Bogor,478,161,399,-,398,1447,-,957,510,95,13,194,-,-,87
Sukabumi,305,81,283,-,621,680,-,1115,496,143,48,129,-,-,39
Cianjur,172,59,323,-,692,966,-,1117,806,109,17,121,-,-,37
Bandung,362,162,660,-,249,1621,-,610,1308,289,72,168,-,-,87
Garut,148,94,129,-,881,886,-,1121,564,116,80,106,-,-,39
Tasikmalaya,151,80,381,-,775,1390,-,983,1243,94,66,398,-,-,40
Ciamis,105,48,231,-,399,1405,-,539,1152,131,33,147,-,-,70
Kuningan,129,56,301,-,257,1904,-,578,1299,159,58,204,-,-,55
Cirebon,218,16,195,-,179,1111,-,542,774,111,14,82,-,-,41
Majalengka,195,71,622,-,471,2212,-,804,1415,178,28,231,-,-,52
Sumedang,93,37,808,-,399,2052,-,573,502,63,31,306,-,-,74
Indramayu,138,40,37,-,538,171,-,562,100,71,16,23,-,-,15
Subang,102,36,554,-,629,1819,-,662,442,66,45,274,-,-,73
Purwakarta,102,36,887,-,214,2459,-,315,573,50,34,306,-,-,88
Karawang,458,118,216,-,359,729,-,856,192,215,22,60,-,-,30
Bekasi,154,29,507,-,114,1249,-,215,489,48,8,502,-,-,42
Bandung Barat,154,68,652,-,198,2116,-,346,519,95,29,331,-,-,63
Pangandaran,40,36,228,-,315,1116,-,368,358,36,33,101,-,-,41
Kota Bogor,248,94,116,-,126,543,-,167,302,100,36,39,-,-,35
Kota Sukabumi,188,22,251,-,76,941,-,119,881,82,9,197,-,-,48
Kota Bandung,279,116,259,-,301,986,-,332,977,138,96,207,-,-,50
Kota Cirebon,301,35,51,-,114,346,-,182,352,324,35,55,-,-,14
Kota Bekasi,494,216,106,-,225,477,-,327,397,264,47,51,-,-,30
Kota Depok,270,125,234,-,128,1119,-,154,891,264,30,111,-,-,50
Kota Cimahi,114,28,297,-,50,1697,-,63,1232,103,23,160,-,-,62
Kota Tasikmalaya,78,22,118,-,158,878,-,229,596,64,20,82,-,-,34
Kota Banjar,34,16,126,-,89,879,-,100,1057,36,6,107,-,-,54
,,,,,,,,,,,,,,,
Sumber : Dinas Kesehatan Provinsi Jawa Barat,,,,,,,,,,,,,,,
Source Url: https://jabar.bps.go.id/indicator/30/639/1/jumlah-tenaga-kesehatan-menurut-kabupaten-kota.html,,,,,,,,,,,,,,,
"Access Time: April 20, 2022, 8:20 pm",,,,,,,,,,,,,,,
