id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_bidan_puskesmas,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,1011,2018
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1118,2018
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1037,2018
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,657,2018
5,32,JAWA BARAT,3205,KABUPATEN GARUT,1161,2018
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1023,2018
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,666,2018
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,674,2018
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,1247,2018
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,805,2018
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,682,2018
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,623,2018
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,744,2018
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,378,2018
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,925,2018
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,710,2018
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,420,2018
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,370,2018
19,32,JAWA BARAT,3271,KOTA BOGOR,189,2018
20,32,JAWA BARAT,3272,KOTA SUKABUMI,117,2018
21,32,JAWA BARAT,3273,KOTA BANDUNG,425,2018
22,32,JAWA BARAT,3274,KOTA CIREBON,179,2018
23,32,JAWA BARAT,3275,KOTA BEKASI,311,2018
24,32,JAWA BARAT,3276,KOTA DEPOK,219,2018
25,32,JAWA BARAT,3277,KOTA CIMAHI,64,2018
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,266,2018
27,32,JAWA BARAT,3279,KOTA BANJAR,92,2018
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,1011,2019
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1118,2019
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1037,2019
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,657,2019
32,32,JAWA BARAT,3205,KABUPATEN GARUT,1161,2019
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1023,2019
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,666,2019
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,674,2019
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,1247,2019
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,805,2019
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,682,2019
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,623,2019
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,744,2019
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,378,2019
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,925,2019
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,710,2019
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,420,2019
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,370,2019
46,32,JAWA BARAT,3271,KOTA BOGOR,189,2019
47,32,JAWA BARAT,3272,KOTA SUKABUMI,117,2019
48,32,JAWA BARAT,3273,KOTA BANDUNG,425,2019
49,32,JAWA BARAT,3274,KOTA CIREBON,179,2019
50,32,JAWA BARAT,3275,KOTA BEKASI,311,2019
51,32,JAWA BARAT,3276,KOTA DEPOK,219,2019
52,32,JAWA BARAT,3277,KOTA CIMAHI,64,2019
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,266,2019
54,32,JAWA BARAT,3279,KOTA BANJAR,92,2019
